ТМЦ,,Ед.,Усред. себест-ть с НДС (руб.),Артемовский МАГАЗИН,"Камышлов, ул. Куйбышева, 2",Основной склад,"РК ""Ботанический"" пав. № 176","РК ""Верх-Исетский"" пав. № 75-76","Реж, ул. Ленина,8","г.Алапаевск ТЦ ул.Фрунзе,32"
"Ковер (Табриз) 2,00*2,90",,шт,"4 962,48", , , , ,"1,000", , 
Ковры (Тифани),,,, , , , , , , 
"Ковер (Тифани) 0,80*1,50",,шт,"1 200,00","1,000", , , ,"1,000","3,000","1,000"
"Ковер (Тифани) 1,20*1,60",,шт,"1 920,00", , , , ,"1,000", , 
Ковры (Турция),,,, , , , , , , 
Ковры (Турция) вижен,,,, , , , , , , 
"Ковер (Турция) вижен 1,00*4,00",,шт,"2 392,00", , , ,"1,000", , , 
"Ковер (Турция) вижен 2,00*2,00 круг",,шт,"2 272,40", , , , , , ,"1,000"
Ковры (турция) вискоза,,,, , , , , , , 
"Ковер (Турция) вискоза 0,8*1,5 ов.",,шт,"780,00", , , , , , ,"2,000"
"Ковер (Турция) вискоза 1,9*2,9",,шт,"3 416,20", ,"1,000", , , , , 
Ковры (Турция) гладкая,,,, , , , , , , 
"Ковер (Турция) 0,80*1,50",,шт,"576,00","3,000", , , , , ,"2,000"
"Ковер (Турция) 0,80*1,50 ов.",,шт,"420,00", , , , , , ,"1,000"
"Ковер (Турция) 1,00*2,00",,шт,"700,00", , , , , , ,"1,000"
"Ковер (Турция) 1,50*2,30",,шт,"3 450,00", , ,"1,000", , , , 
"Ковер (Турция) 1,50*3,00",,шт,"2 691,00", , , , , , ,"1,000"
"Ковер (Турция) 1,50*4,00",,шт,"3 900,00", , , , , , ,"1,000"
"Ковер (Турция) 2,00*3,00",,шт,"3 560,31","2,000", ,"1,000","1,000","2,000", , 
"Ковер (Турция) 2,00*4,00",,шт,"4 784,00", , , , ,"1,000", , 
"Ковер (Турция) 2,00*4,00 ов.",,шт,"4 784,00", ,"1,000", , , , , 
"Ковер (Турция) 2,00*4,50 ов.",,шт,"3 150,00","1,000", , , , , , 
"Ковер (Турция) 2,00*5,00",,шт,"5 681,00", , ,"1,000", , , , 
"Ковер (Турция) 2,00*5,00 ов.",,шт,"5 681,00","1,000", ,"2,000", , ,"1,000","1,000"
"Ковер (Турция) 2,50*3,50",,шт,"3 062,50","1,000", , , ,"1,000", ,"1,000"
"Ковер (Турция) 2,50*3,50 ов.",,шт,"3 062,50","1,000", , ,"1,000", ,"2,000", 
"Ковер (Турция) 2,50*4,00",,шт,"3 500,00", ,"1,000", ,"1,000", , ,"1,000"
"Ковер (Турция) 2,50*4,00 ов.",,шт,"3 500,00", , , ,"1,000", ,"1,000", 
"Ковер (Турция) 2,50*4,50 ов.",,шт,"3 937,50", , , , , ,"1,000","1,000"
"Ковер (Турция) 2,50*5,00",,шт,"4 597,68", , ,"1,000", ,"1,000","1,000","1,000"
"Ковер (Турция) 2,50*5,00 ов.",,шт,"4 375,00","1,000", , ,"1,000","1,000", , 
"Ковер (Турция) 3,00*5,00 ов.",,шт,"5 270,40","1,000", ,"1,000", , ,"1,000","1,000"
Ковры (Турция) шаги,,,, , , , , , , 
"Ковер (Турция) шаги 1,50*4,00 ов.",,шт,"3 450,00", , , , ,"1,000", , 
"Ковер (Турция) шаги 2,00*4,00 ов.",,шт,"4 552,00", , , , , ,"1,000", 
Ковры (Турция) шаги лонж,,,, , , , , , , 
"Ковры (Турция) шаги лонж 0,80*1,50",,шт,"640,20", , , , , ,"1,000", 
Ковры Турция (BCF),,,, , , , , , , 
"Ковер Турция (BCF) 3,00*6,00",,шт,"3 150,00", , ,"1,000", , , , 
Ковры (Фиеста),,,, , , , , , , 
"Ковер (Фиеста) 0,45*0,45",,шт,"85,75", , , , ,"9,000", , 
"Ковер (Фиеста) 0,60*1,00 ов.",,шт,"500,00", , , , ,"1,000", , 
"Ковер (Фиеста) 0,60*1,10",,шт,"285,63","2,000", ,"12,000", ,"3,000", , 
"Ковер (Фиеста) 0,60*1,10 ов.",,шт,"306,38", , ,"8,000","3,000","2,000", , 
"Ковер (Фиеста) 0,75*1,00",,шт,"317,25","1,000", , , , , , 
"Ковер (Фиеста) 0,80*0.80 ов.",,шт,"270,72", ,"3,000", , , ,"6,000","1,000"
"Ковер (Фиеста) 0,80*1,50",,шт,"515,01", ,"3,000","18,000","2,000","1,000", ,"2,000"
"Ковер (Фиеста) 0,80*1,50 ов.",,шт,"531,12", ,"6,000","18,000","3,000","3,000", ,"2,000"
"Ковер (Фиеста) 0,80*2,50",,шт,"1 400,00", , , , ,"1,000", , 
"Ковер (Фиеста) 1,00*1,00 ов.",,шт,"423,00","1,000", , , ,"1,000", , 
"Ковер (Фиеста) 1,00*2,00",,шт,"861,52","1,000", ,"6,000","6,000","1,000", , 
"Ковер (Фиеста) 1,00*2,00 ов.",,шт,"857,37", ,"4,000","3,000","6,000","1,000","1,000","1,000"
"Ковер (Фиеста) 1,00*3,00",,шт,"1 272,85", ,"5,000","3,000", , ,"3,000", 
"Ковер (Фиеста) 1,00*3,00 ов.",,шт,"1 276,83","1,000","4,000", , , ,"4,000", 
"Ковер (Фиеста) 1,00*3,50",,шт,"1 480,50", , , , , ,"1,000", 
"Ковер (Фиеста) 1,00*3,50 ов.",,шт,"1 480,50", , , , , ,"1,000", 
"Ковер (Фиеста) 1,00*4,00",,шт,"1 681,26", , ,"2,000","1,000","2,000","2,000", 
"Ковер (Фиеста) 1,00*4,00 ов.",,шт,"1 673,20","1,000", ,"3,000", , ,"2,000", 
"Ковер (Фиеста) 1,00*5,00",,шт,"2 115,00", , , , , ,"2,000", 
"Ковер (Фиеста) 1,20*1,70",,шт,"872,19", , , , , ,"2,000","1,000"
"Ковер (Фиеста) 1,20*1,70 ов.",,шт,"877,30", , ,"1,000", , ,"2,000","1,000"
"Ковер (Фиеста) 1,20*2,00",,шт,"1 032,12", , , , , ,"1,000","1,000"
"Ковер (Фиеста) 1,20*2,00 ов.",,шт,"1 026,48", , , , ,"1,000","1,000","1,000"
"Ковер (Фиеста) 1,20*2,40",,шт,"1 218,24", , , , , ,"1,000", 
"Ковер (Фиеста) 1,20*2,40 ов.",,шт,"1 218,24", , , , , ,"1,000", 
"Ковер (Фиеста) 1,20*2,50",,шт,"1 287,80", , , , ,"1,000", ,"2,000"
"Ковер (Фиеста) 1,20*2,50 ов.",,шт,"1 311,30", , , , ,"1,000", ,"2,000"
"Ковер (Фиеста) 1,20*2,60",,шт,"1 319,76", , , , , ,"2,000", 
"Ковер (Фиеста) 1,20*3,00",,шт,"1 556,64", , , , ,"1,000", ,"2,000"
"Ковер (Фиеста) 1,20*3,00 ов.",,шт,"1 548,18", , , , , ,"2,000","2,000"
"Ковер (Фиеста) 1,20*3,50",,шт,"1 783,18", ,"1,000", , ,"1,000", ,"1,000"
"Ковер (Фиеста) 1,20*3,50 ов.",,шт,"1 835,82", , , , , , ,"3,000"
"Ковер (Фиеста) 1,20*4,00",,шт,"2 064,24", , , , ,"1,000", ,"1,000"
"Ковер (Фиеста) 1,20*4,00 ов.",,шт,"2 041,68", , , , ,"1,000", ,"1,000"
"Ковер (Фиеста) 1,50*1,50 ов.",,шт,"967,62", ,"2,000", , , , , 
"Ковер (Фиеста) 1,50*2,00",,шт,"1 276,05", ,"3,000","3,000", , , , 
"Ковер (Фиеста) 1,50*2,00 ов.",,шт,"1 275,04","1,000","3,000","3,000", , , , 
"Ковер (Фиеста) 1,50*2,30",,шт,"1 495,39", , ,"2,000","1,000", , ,"1,000"
"Ковер (Фиеста) 1,50*2,30 ов.",,шт,"1 507,99", ,"2,000","2,000", ,"1,000", ,"1,000"
"Ковер (Фиеста) 1,50*2,90 ов.",,шт,"1 901,39", ,"1,000", , , , , 
"Ковер (Фиеста) 1,50*3,00",,шт,"1 956,38", ,"2,000", ,"1,000", ,"1,000","1,000"
"Ковер (Фиеста) 1,50*3,00 ов.",,шт,"1 956,38", ,"4,000", , ,"1,000","1,000", 
"Ковер (Фиеста) 1,50*4,00",,шт,"2 622,60", , , , , , ,"1,000"
"Ковер (Фиеста) 1,50*4,00 ов.",,шт,"2 541,53", ,"2,000", ,"1,000","1,000", ,"2,000"
"Ковер (Фиеста) 1,50*4,50",,шт,"2 950,43", ,"1,000", , , , , 
"Ковер (Фиеста) 1,50*5,00",,шт,"3 172,50","1,000", , , , ,"2,000", 
"Ковер (Фиеста) 1,50*5,00 ов.",,шт,"3 102,00","2,000", , , , , , 
"Ковер (Фиеста) 1,50*6,00",,шт,"3 722,40","1,000", , , , , , 
"Ковер (Фиеста) 1,50*6,00 ов.",,шт,"3 722,40","1,000", , , , , , 
"Ковер (Фиеста) 1,60*2,30",,шт,"1 547,24", ,"2,000", ,"2,000","1,000", ,"1,000"
"Ковер (Фиеста) 1,60*2,30 ов.",,шт,"1 505,62", , , ,"2,000","2,000", ,"2,000"
"Ковер (Фиеста) 1,60*3,00",,шт,"2 292,96", ,"1,000","4,000","2,000","2,000","1,000", 
"Ковер (Фиеста) 1,60*3,00 ов.",,шт,"2 030,40", , , ,"1,000","1,000", , 
"Ковер (Фиеста) 1,60*4,00",,шт,"2 707,20", ,"1,000", ,"1,000","1,000","1,000", 
"Ковер (Фиеста) 1,60*4,00 ов.",,шт,"2 918,25","2,000","1,000","1,000","1,000","2,000", , 
"Ковер (Фиеста) 1,80*2,40",,шт,"1 827,36", , , , , ,"1,000", 
"Ковер (Фиеста) 1,80*2,40 ов.",,шт,"1 827,36", , , , , ,"2,000", 
"Ковер (Фиеста) 1,80*2,60",,шт,"1 979,64", , , , ,"1,000", , 
"Ковер (Фиеста) 1,80*2,60 ов.",,шт,"1 979,64", , , , , ,"2,000", 
"Ковер (Фиеста) 1,80*3,00",,шт,"2 284,20", , , , ,"2,000","1,000", 
"Ковер (Фиеста) 1,80*3,00 ов.",,шт,"1 142,10", , , , ,"1,000","1,000", 
"Ковер (Фиеста) 1,80*4,00",,шт,"3 045,60", , , , ,"1,000","2,000", 
"Ковер (Фиеста) 1,80*4,00 ов.",,шт, , , , , ,"2,000", , 
"Ковер (Фиеста) 2,00*2,00 ов.",,шт,"1 748,40", ,"1,000", , ,"1,000", , 
"Ковер (Фиеста) 2,00*2,50",,шт,"2 115,00", , , ,"1,000", , , 
"Ковер (Фиеста) 2,00*2,50 ов.",,шт,"2 115,00", , , ,"1,000", ,"1,000", 
"Ковер (Фиеста) 2,00*3,00",,шт,"2 454,00", ,"1,000","11,000","2,000","4,000", ,"3,000"
"Ковер (Фиеста) 2,00*3,00 ов.",,шт,"2 607,29", ,"3,000","3,000","2,000","1,000","1,000","1,000"
"Ковер (Фиеста) 2,00*3,50",,шт,"2 961,00", , , , ,"1,000", , 
"Ковер (Фиеста) 2,00*3,50 ов.",,шт,"2 961,00", , , , ,"2,000", , 
"Ковер (Фиеста) 2,00*4,00",,шт,"3 403,79", ,"3,000","7,000","2,000","4,000","1,000","1,000"
"Ковер (Фиеста) 2,00*4,00 ов.",,шт,"3 429,25","1,000","2,000","7,000","2,000","1,000", ,"1,000"
"Ковер (Фиеста) 2,00*5,00",,шт,"4 136,00", , , ,"1,000", , ,"1,000"
"Ковер (Фиеста) 2,00*5,00 ов.",,шт,"4 236,00", ,"1,000", , , , , 
"Ковер (Фиеста) 2,50*3,00",,шт,"3 278,25", ,"1,000", , , , , 
"Ковер (Фиеста) 2,50*3,00 ов.",,шт,"3 172,50","1,000", , , ,"1,000", , 
"Ковер (Фиеста) 2,50*3,50",,шт,"3 738,31", ,"1,000","1,000", ,"1,000", , 
"Ковер (Фиеста) 2,50*3,50 ов.",,шт,"3 728,67", ,"1,000", , ,"1,000", ,"1,000"
"Ковер (Фиеста) 2,50*4,00",,шт,"4 186,68", ,"1,000", ,"1,000","1,000", , 
"Ковер (Фиеста) 2,50*4,00 ов.",,шт,"4 230,00","1,000","1,000", , ,"1,000", ,"1,000"
"Ковер (Фиеста) 2,50*4,50",,шт,"4 917,38", , , , ,"1,000", , 
"Ковер (Фиеста) 3,00*4,00",,шт,"5 245,20", , , , ,"1,000", , 
Ковры (Фэнси) дет.,,,, , , , , , , 
"Ковер (Фэнси) дет. 0,75*0,75 ов",,шт,"345,03", , ,"6,000", , ,"2,000", 
"Ковер (Фэнси) дет. 2,00*3,00",,шт,"3 192,00", ,"1,000", , , ,"1,000","1,000"
Ковры (Шагги Веста),,,, , , , , , , 
"Ковер (Шагги Веста) 0,60*1,10",,шт,"428,08", , , , , ,"1,000", 
"Ковер (Шагги Веста) 1,60*2,30",,шт,"2 386,85", ,"1,000", , , , , 
"Ковер (Шагги Веста) 1,60*2,30 ов.",,шт,"2 386,85", , , , , , ,"1,000"
"Ковер (Шагги Веста) 2,00*3,00",,шт,"3 891,60", , , , , , ,"1,000"
Ковры (Шагги Лонж),,,, , , , , , , 
"Ковер (Шагги Лонж) 0,60*1,10",,шт,"474,91", , ,"7,000", , , , 
"Ковер (Шагги Лонж) 0,60*1,10 ов.",,шт,"471,92","5,000","5,000","8,000", ,"5,000","2,000", 
"Ковер (Шагги Лонж) 0,80*1,50",,шт,"854,94", , ,"1,000","2,000","1,000","1,000","1,000"
"Ковер (Шагги Лонж) 0,80*1,50 ов.",,шт,"868,60", ,"2,000","7,000", ,"1,000","3,000", 
"Ковер (Шагги Лонж) 1,00*2,00",,шт,"1 377,13", , ,"6,000", , , , 
"Ковер (Шагги Лонж) 1,00*2,00 ов.",,шт,"1 439,14", , ,"5,000","1,000", ,"1,000", 
"Ковер (Шагги Лонж) 1,20*1,70",,шт,"1 461,25", , ,"7,000", ,"1,000","1,000","1,000"
"Ковер (Шагги Лонж) 1,20*1,70 ов.",,шт,"1 479,82", , ,"4,000", , , ,"2,000"
"Ковер (Шагги Лонж) 1,40*2,00",,шт,"1 993,04", ,"1,000","1,000", , , , 
"Ковер (Шагги Лонж) 1,40*2,00 ов.",,шт,"1 999,39", ,"2,000","4,000", ,"2,000", ,"1,000"
"Ковер (Шагги Лонж) 1,60*2,30",,шт,"2 629,53", ,"1,000", , ,"1,000","1,000","2,000"
"Ковер (Шагги Лонж) 1,60*2,30 ов.",,шт,"2 656,96", , ,"4,000", , , ,"1,000"
"Ковер (Шагги Лонж) 1,60*3,00",,шт,"3 384,00", , , , , ,"1,000","1,000"
"Ковер (Шагги Лонж) 1,60*3,00 ов.",,шт,"3 372,72", , ,"1,000", ,"1,000", ,"2,000"
"Ковер (Шагги Лонж) 2,00*2,90",,шт,"4 207,32", , , , , , ,"1,000"
"Ковер (Шагги Лонж) 2,00*2,90 ов.",,шт,"4 838,53", , , , ,"2,000", ,"2,000"
"Ковер (Шагги Лонж) 2,00*3,90",,шт,"5 605,08","1,000", , , , , ,"1,000"
"Ковер (Шагги Лонж) 2,00*3,90 ов.",,шт,"5 578,56","1,000", , , , , ,"1,000"
Ковры (Шагги Софт),,,, , , , , , , 
"Ковер (Шагги Софт) 0,80*1,50 ов.",,шт,"1 015,20", , , , , , ,"1,000"
"Ковер (Шагги Софт) 1,00*2,00 ов.",,шт,"1 692,00", , , , , ,"1,000", 
"Ковер (Шагги Софт) 1,00*3,00 ов.",,шт,"2 594,40", , , , , , ,"1,000"
"Ковер (Шагги Софт) 1,60*2,30",,шт,"3 113,28", , , , , , ,"2,000"
"Ковер (Шагги Софт) 1,60*2,30 ов.",,шт,"3 113,28", , , , , , ,"1,000"
"Ковер (Шагги Софт) 2,00*2,90 ов.",,шт,"4 906,80", , , , , , ,"1,000"
"Ковер (Шагги Софт) 2,00*4,00 ов.",,шт,"8 184,00", , ,"1,000", , , , 
Ковры (Шагги Фьюжен),,,, , , , , , , 
"Ковер Шагги Фьюжен 0,60*1,00 ов.",,шт,"413,03", , , , ,"4,000", ,"2,000"
"Ковер Шагги Фьюжен 0,60*1,10",,шт,"409,33","4,000", ,"1,000","1,000", ,"2,000","6,000"
"Ковер Шагги Фьюжен 0,60*1,10 ов.",,шт,"362,48", , , ,"1,000","2,000","4,000","4,000"
"Ковер Шагги Фьюжен 0,60*1,80 ов.",,шт,"612,68", , , , , , ,"1,000"
"Ковер Шагги Фьюжен 0,60*2,00",,шт,"642,96", , , , , ,"1,000", 
"Ковер Шагги Фьюжен 0,60*2,00 ов.",,шт,"680,76", , , , , , ,"1,000"
"Ковер Шагги Фьюжен 0,70*1,40",,шт,"534,30", , , , , ,"1,000", 
"Ковер Шагги Фьюжен 0,80*0,80 ов.",,шт,"348,93", , , , , ,"4,000", 
"Ковер Шагги Фьюжен 0,80*1,20",,шт,"523,39", , ,"1,000", , , , 
"Ковер Шагги Фьюжен 0,80*1,50",,шт,"676,38","2,000", ,"8,000", ,"1,000","7,000","1,000"
"Ковер Шагги Фьюжен 0,80*1,50 ов.",,шт,"707,27","7,000","1,000","1,000","1,000","2,000","1,000","5,000"
"Ковер Шагги Фьюжен 0,80*2,00",,шт,"993,60", , ,"1,000", , ,"1,000", 
"Ковер Шагги Фьюжен 0,80*2,50 ов.",,шт,"1 146,80", , , , , , ,"1,000"
"Ковер Шагги Фьюжен 1,00*1,00",,шт,"535,80","1,000", , , , , , 
"Ковер Шагги Фьюжен 1,00*1,00 ов.",,шт,"609,03","2,000", , ,"2,000","2,000","2,000", 
"Ковер Шагги Фьюжен 1,00*1,65 ов.",,шт,"946,11", , , , , , ,"1,000"
"Ковер Шагги Фьюжен 1,00*2,00",,шт,"1 219,50", , ,"4,000","1,000","2,000","1,000", 
"Ковер Шагги Фьюжен 1,00*2,00 ов.",,шт,"1 080,30","1,000","1,000","1,000", , , ,"1,000"
"Ковер Шагги Фьюжен 1,00*2,50",,шт,"1 590,40", , , , , ,"3,000","1,000"
"Ковер Шагги Фьюжен 1,00*2,50 ов.",,шт,"1 363,00", , , , , ,"1,000", 
"Ковер Шагги Фьюжен 1,00*3,00",,шт,"1 664,81","1,000","1,000", , ,"1,000","1,000","3,000"
"Ковер Шагги Фьюжен 1,00*3,00 ов.",,шт,"2 144,98","1,000", , , ,"2,000","2,000", 
"Ковер Шагги Фьюжен 1,00*4,00",,шт,"2 044,50","1,000", , , , ,"3,000","1,000"
"Ковер Шагги Фьюжен 1,00*4,00 ов.",,шт,"1 992,80","1,000","1,000", , , , , 
"Ковер Шагги Фьюжен 1,10*1,50 ов.",,шт,"946,11", , , , , , ,"1,000"
"Ковер Шагги Фьюжен 1,20*1,70 ов.",,шт,"1 106,22", , , , ,"1,000","2,000", 
"Ковер Шагги Фьюжен 1,20*2,00",,шт,"1 227,60", , , , ,"1,000", , 
"Ковер Шагги Фьюжен 1,20*2,50",,шт,"1 635,60", , , , , ,"1,000", 
"Ковер Шагги Фьюжен 1,20*3,50",,шт,"2 289,89", ,"1,000", , , , , 
"Ковер Шагги Фьюжен 1,30*2,50",,шт,"1 771,90", , , , , ,"1,000", 
"Ковер Шагги Фьюжен 1,40*2,00",,шт,"1 556,47", , ,"2,000", ,"1,000", , 
"Ковер Шагги Фьюжен 1,40*2,00 ов.",,шт,"1 588,44", , , , ,"1,000", , 
"Ковер Шагги Фьюжен 1,40*3,00",,шт,"2 250,36", , , , , ,"1,000", 
"Ковер Шагги Фьюжен 1,40*3,00 ов.",,шт,"2 250,36", , , , , ,"1,000", 
"Ковер Шагги Фьюжен 1,50*1,50 ов.",,шт,"1 141,38", , ,"1,000","1,000","2,000","2,000","1,000"
"Ковер Шагги Фьюжен 1,50*2,00",,шт,"1 871,83", ,"1,000","1,000", ,"2,000","1,000","1,000"
"Ковер Шагги Фьюжен 1,50*2,00 ов.",,шт,"1 593,30", , , , , , ,"1,000"
"Ковер Шагги Фьюжен 1,50*2,30",,шт,"1 880,94","1,000", , , , , , 
"Ковер Шагги Фьюжен 1,50*2,30 ов.",,шт,"3 450,00", , , , , ,"1,000", 
"Ковер Шагги Фьюжен 1,50*2,50",,шт,"2 044,50", , ,"2,000", , ,"2,000", 
"Ковер Шагги Фьюжен 1,50*2,50 ов.",,шт,"2 040,58", , ,"1,000", ,"1,000","1,000", 
"Ковер Шагги Фьюжен 1,50*3,00",,шт,"2 453,40","2,000", , , , ,"2,000","2,000"
"Ковер Шагги Фьюжен 1,50*3,00 ов.",,шт,"2 862,72","1,000", , , ,"2,000","1,000","1,000"
"Ковер Шагги Фьюжен 1,50*3,50 ов.",,шт,"2 837,63","1,000", ,"1,000", , , , 
"Ковер Шагги Фьюжен 1,50*4,00",,шт,"3 214,80","1,000", , , ,"1,000", , 
"Ковер Шагги Фьюжен 1,50*4,00 ов.",,шт,"3 315,40","1,000", , , , , ,"2,000"
"Ковер Шагги Фьюжен 1,60*2,30",,шт,"2 373,44", , ,"1,000", ,"4,000","1,000","1,000"
"Ковер Шагги Фьюжен 1,60*2,30 ов.",,шт,"2 287,60","1,000", , , , ,"1,000","1,000"
"Ковер Шагги Фьюжен 1,60*2,50 ов.",,шт,"2 143,20", , , , ,"1,000", , 
"Ковер Шагги Фьюжен 1,60*3,00",,шт,"2 616,96", , ,"1,000", , , , 
"Ковер Шагги Фьюжен 1,60*3,00 ов.",,шт,"2 616,96", , , , ,"1,000", , 
"Ковер Шагги Фьюжен 2,00*2,00 ов.",,шт,"2 206,20","1,000", , , ,"1,000", , 
"Ковер Шагги Фьюжен 2,00*2,90",,шт,"3 162,16", ,"2,000", , , , , 
"Ковер Шагги Фьюжен 2,00*2,90 ов.",,шт,"4 476,54", , , , , ,"1,000", 
"Ковер Шагги Фьюжен 2,00*3,00",,шт,"3 282,50","1,000", ,"2,000", , , ,"1,000"
"Ковер Шагги Фьюжен 2,00*3,00 ов.",,шт,"3 243,00", , , , , ,"1,000","1,000"
"Ковер Шагги Фьюжен 2,00*3,90",,шт,"4 252,56","1,000", , , , ,"1,000", 
"Ковер Шагги Фьюжен 2,00*3,90 ов.",,шт,"4 252,56","1,000", , , , ,"1,000", 
"Ковер Шагги Фьюжен 2,00*4,00",,шт,"4 351,15", , ,"1,000", , , , 
"Ковер Шагги Фьюжен 2,00*4,00 ов.",,шт,"4 820,84","1,000","1,000","1,000", , ,"1,000","2,000"
"Ковер Шагги Фьюжен 2,40*3,20",,шт,"3 826,18", , , , , ,"1,000", 
"Ковер Шагги Фьюжен 2,50*3,50",,шт,"4 688,25", , , , , , ,"1,000"
"Ковер Шагги Фьюжен 2,50*3,50 ов.",,шт,"4 770,50", , , , , , ,"1,000"
"Ковер Шагги Фьюжен 2,50*4,00",,шт,"5 452,00", , , , , , ,"1,000"
Ковры (Шахреза),,,, , , , , , , 
"Ковер (Шахреза) 1,60*2,20 ов.",,шт,"3 205,60", , , , , , ,"1,000"
Ковры (Шенилл),,,, , , , , , , 
"Ковер (Шенилл) 0,80*1,50",,шт,"992,64", , , , , , ,"2,000"
"Ковер (Шенилл) 0,80*1,50 ов.",,шт,"988,88", , , , , , ,"2,000"
"Ковер (Шенилл) 1,00*2,00",,шт,"1 654,40", , , , , , ,"1,000"
"Ковер (Шенилл) 1,00*2,00 ов.",,шт,"1 654,40", , , , , , ,"1,000"
"Ковер (Шенилл) 1,45*2,30 ов.",,шт,"2 774,50", ,"1,000", , ,"2,000", ,"3,000"
"Ковер (Шенилл) 1,45*3,00",,шт,"3 598,32", , , , ,"1,000", ,"1,000"
"Ковер (Шенилл) 1,45*3,00 ов.",,шт,"3 639,50", ,"1,000", , ,"1,000", ,"1,000"
"Ковер (Шенилл) 1,95*3,00",,шт,"2 502,63", , ,"1,000", , , ,"1,000"
"Ковер (Шенилл) 1,95*3,00 ов.",,шт,"4 872,35", , ,"1,000", ,"1,000", ,"3,000"
"Ковер (Шенилл) 1,95*4,00",,шт,"6 452,16", ,"1,000", , , , ,"1,000"
"Ковер (Шенилл) 1,95*4,00 ов.",,шт,"6 452,16", , , , , , ,"1,000"
Ковры циновка (Декора),,,, , , , , , , 
"Ковер циновка (Декора) 0,50*0,80",,шт,"163,13", ,"1,000","5,000", ,"3,000","2,000","3,000"
"Ковер циновка (Декора) 0,60*1,10",,шт,"259,68", , ,"8,000","4,000", , ,"1,000"
"Ковер циновка (Декора) 0,60*1,10 ов.",,шт,"260,57","2,000", , , , , , 
"Ковер циновка (Декора) 0,80*1,50",,шт,"501,61", ,"4,000","16,000", ,"2,000", ,"1,000"
"Ковер циновка (Декора) 0,80*1,50 ов.",,шт,"473,76", ,"4,000","1,000","1,000","4,000", , 
"Ковер циновка (Декора) 1,00*2,00",,шт,"798,61", ,"3,000","4,000", , , , 
"Ковер циновка (Декора) 1,00*2,00 ов.",,шт,"802,53", , ,"1,000", , ,"2,000", 
"Ковер циновка (Декора) 1,00*3,00",,шт,"1 206,00", ,"1,000", , ,"1,000", , 
"Ковер циновка (Декора) 1,00*3,00 ов.",,шт,"1 156,20", , , , ,"1,000", , 
"Ковер циновка (Декора) 1,20*1,70",,шт,"981,23", ,"1,000","1,000", ,"1,000","1,000", 
"Ковер циновка (Декора) 1,40*2,00",,шт,"1 105,44", ,"1,000","1,000", , , , 
"Ковер циновка (Декора) 1,60*2,30",,шт,"1 452,86", ,"1,000", , , ,"1,000", 
"Ковер циновка (Декора) 1,60*2,30 ов.",,шт,"1 418,27", ,"1,000","1,000", , , , 
"Ковер циновка (Декора) 2,00*2,00",,шт,"1 636,80", ,"1,000", , , , , 
"Ковер циновка (Декора) 2,00*2,90",,шт,"2 126,28", ,"1,000", , , , , 
"Ковер циновка (Декора) 2,00*3,90",,шт, , , ,"3,000", , , , 
Ковры циновка (Дели),,,, , , , , , , 
"Ковер циновка (Дели) 0,50*0,80",,шт,"154,16", , , , , ,"1,000", 
Ковры циновка (Флурлюкс),,,, , , , , , , 
"Ковер циновка (Флурлюкс) 0,50*0,80",,шт,"161,46","5,000","8,000","2,000","4,000", ,"4,000","8,000"
"Ковер циновка (Флурлюкс) 0,60*1,10",,шт,"265,10","3,000", ,"8,000", ,"5,000","2,000","1,000"
"Ковер циновка (Флурлюкс) 0,60*1,10 ов.",,шт,"299,73","13,000","1,000","16,000", ,"5,000","7,000","4,000"
"Ковер циновка (Флурлюкс) 0,80*1,50",,шт,"489,46","4,000", ,"24,000","2,000","2,000","3,000","2,000"
"Ковер циновка (Флурлюкс) 0,80*1,50 ов.",,шт,"507,50","4,000","1,000","8,000","4,000","1,000","8,000","7,000"
"Ковер циновка (Флурлюкс) 1,00*2,00",,шт,"786,39","1,000", ,"4,000","2,000", ,"2,000","1,000"
"Ковер циновка (Флурлюкс) 1,00*2,00 ов.",,шт,"795,67", ,"2,000","6,000", , , , 
"Ковер циновка (Флурлюкс) 1,20*1,70",,шт,"936,67", , ,"6,000", , ,"2,000", 
"Ковер циновка (Флурлюкс) 1,20*1,70 ов.",,шт,"883,16", ,"1,000","2,000", , ,"1,000","1,000"
"Ковер циновка (Флурлюкс) 1,20*2,50",,шт,"1 156,20","1,000", , , , , , 
"Ковер циновка (Флурлюкс) 1,40*2,00",,шт,"1 105,44", , , , , ,"1,000", 
"Ковер циновка (Флурлюкс) 1,40*2,00 ов.",,шт,"1 284,32", ,"2,000","3,000", , ,"2,000", 
"Ковер циновка (Флурлюкс) 1,50*2,30",,шт,"1 362,06", ,"1,000", , , , , 
"Ковер циновка (Флурлюкс) 1,60*2,30",,шт,"1 496,39", ,"1,000","5,000", , , , 
"Ковер циновка (Флурлюкс) 1,60*2,30 ов.",,шт,"1 465,52", ,"1,000","9,000", , , , 
"Ковер циновка (Флурлюкс) 1,60*3,00",,шт,"1 964,16", , ,"2,000", , , , 
"Ковер циновка (Флурлюкс) 1,60*3,00 ов.",,шт,"1 178,50", , ,"5,000", , , , 
"Ковер циновка (Флурлюкс) 2,00*2,40",,шт,"1 895,04", ,"1,000", , , , , 
"Ковер циновка (Флурлюкс) 2,00*2,90",,шт,"2 139,91", , ,"4,000", , , , 
"Ковер циновка (Флурлюкс) 2,00*2,90 ов.",,шт,"2 235,32", , ,"3,000", , , , 
