ТМЦ,,Ед.,Усред. себест-ть с НДС (руб.),Артемовский МАГАЗИН,"Камышлов, ул. Куйбышева, 2",Основной склад,"РК ""Ботанический"" пав. № 176","РК ""Верх-Исетский"" пав. № 75-76","Реж, ул. Ленина,8","г.Алапаевск ТЦ ул.Фрунзе,32"
"Ковер (Бухара) вискоза 1,60*4,00",,шт,"5 952,00", , , , , , ,"1,000"
"Ковер (Бухара) вискоза 1,60*4,00 ов.",,шт,"5 952,00", ,"1,000", , , ,"1,000", 
Ковры (Валенсия),,,, , , , , , , 
"Ковер (Валенсия) 0,80*1,50",,шт,"642,00", , , , ,"1,000", , 
Ковры (Версаль),,,, , , , , , , 
"Ковер (Версаль) 0,60*1,10",,шт,"339,83", , , , , , ,"1,000"
"Ковер (Версаль) 0,80*1,50",,шт,"708,00", , , ,"1,000", ,"2,000","4,000"
"Ковер (Версаль) 1,00*2,00",,шт,"1 189,67", , , , , ,"2,000","1,000"
"Ковер (Версаль) 1,00*2,00 ов.",,шт,"1 175,73", , , ,"2,000", , ,"1,000"
"Ковер (Версаль) 1,20*2,00",,шт,"1 450,80", , , ,"1,000", , , 
"Ковер (Версаль) 1,50*1,50 ов.",,шт,"1 360,13", ,"1,000","3,000","1,000", , , 
"Ковер (Версаль) 1,50*2,00 ов.",,шт,"1 813,50", , , ,"2,000", , , 
"Ковер (Версаль) 1,50*2,30",,шт,"2 085,53", , , ,"1,000", , , 
"Ковер (Версаль) 1,50*3,00",,шт,"3 430,45", , , , ,"2,000","1,000", 
"Ковер (Версаль) 1,50*3,00 ов.",,шт,"2 592,15", ,"1,000", ,"1,000","1,000","1,000","1,000"
"Ковер (Версаль) 1,50*4,00",,шт,"3 058,80", ,"1,000", ,"1,000", , , 
"Ковер (Версаль) 1,60*2,30",,шт,"2 425,37", , ,"1,000", ,"1,000", ,"2,000"
"Ковер (Версаль) 1,60*2,30 ов.",,шт,"2 171,20", , , , ,"2,000", , 
"Ковер (Версаль) 2,00*2,00 ов.",,шт,"2 418,00", ,"1,000","3,000","1,000","1,000", , 
"Ковер (Версаль) 2,00*3,00",,шт,"3 948,65", , , ,"1,000","1,000","3,000","1,000"
"Ковер (Версаль) 2,00*3,00 ов.",,шт,"3 627,00", , ,"1,000", , , , 
"Ковер (Версаль) 2,00*4,00",,шт,"4 762,33", , , , ,"4,000","3,000","1,000"
"Ковер (Версаль) 2,00*4,00 ов.",,шт,"4 888,00","1,000", , ,"1,000","1,000","1,000","1,000"
"Ковер (Версаль) 2,00*5,00",,шт,"6 110,00", , , , ,"1,000", , 
"Ковер (Версаль) 2,00*5,00 ов.",,шт,"6 110,00", , , , ,"1,000", , 
"Ковер (Версаль) 2,40*3,40 ов.",,шт,"4 968,08","1,000", , , ,"1,000", , 
"Ковер (Версаль) 2,40*4,00 ов.",,шт,"5 324,16", ,"1,000", , , , , 
"Ковер (Версаль) 2,50*3,50",,шт,"5 289,38", , , , ,"1,000", , 
"Ковер (Версаль) 2,50*3,50 ов.",,шт,"4 852,75", , , , , ,"1,000", 
"Ковер (Версаль) 2,50*4,00",,шт,"6 586,00", ,"1,000", ,"1,000","2,000", ,"1,000"
Ковры (Виктория),,,, , , , , , , 
"Ковер (Виктория) 1,50*3,00",,шт,"1 162,80", , , , , , ,"1,000"
"Ковер (Виктория) 2,50*4,50 ов.",,шт,"2 907,00", , ,"1,000", , , , 
Ковры (Витебск),,,, , , , , , , 
Витебск,,,, , , , , , , 
Ковер (Витебск) дет.,,,, , , , , , , 
"Ковер (Витебск) дет. 2,00*3,00",,шт,"2 154,00","1,000", , , , , , 
Ковры (Витебск) Вернисаж,,,, , , , , , , 
"Ковер (Витебск) Вернисаж 0,80*1,50 ов.",,шт,"676,29", , , ,"1,000", ,"5,000", 
"Ковер (Витебск) Вернисаж 1,00*2,00",,шт,"800,00", , , ,"1,000", , ,"1,000"
"Ковер (Витебск) Вернисаж 1,50*2,00",,шт,"1 200,00", , , ,"1,000", , , 
"Ковер (Витебск) Вернисаж 1,50*2,30",,шт,"1 552,50","1,000", ,"1,000", , , , 
"Ковер (Витебск) Вернисаж 1,50*3,00",,шт,"1 818,90", ,"1,000", ,"2,000", , ,"2,000"
"Ковер (Витебск) Вернисаж 1,60*2,30",,шт,"1 487,45","2,000", , ,"2,000","2,000","2,000","2,000"
"Ковер (Витебск) Вернисаж 1,60*2,30 ов.",,шт,"1 472,00","1,000", , ,"1,000", , , 
"Ковер (Витебск) Вернисаж 2,00*3,00",,шт,"2 400,00","1,000","1,000", ,"1,000","1,000","2,000", 
"Ковер (Витебск) Вернисаж 2,00*3,00 ов.",,шт,"3 600,00","1,000", , , ,"1,000", , 
"Ковер (Витебск) Вернисаж 2,00*4,00",,шт,"3 200,00","1,000", , ,"1,000", , ,"4,000"
"Ковер (Витебск) Вернисаж 2,00*4,00 ов.",,шт,"4 800,00", , , ,"1,000","1,000", ,"1,000"
"Ковер (Витебск) Вернисаж 2,40*3,40 ов.",,шт,"3 835,20", , , , ,"1,000", , 
Ковры (Витебск) Ренесанс,,,, , , , , , , 
"Ковер (Витебск) Ренесанс 0,80*1,50",,шт,"665,52", , , , , ,"1,000", 
"Ковер (Витебск) Ренесанс 0,80*1,50 ов.",,шт,"708,00", , , , , ,"1,000", 
Ковры (Витебск) фризе,,,, , , , , , , 
"Ковер (Витебск) фризе 0,60*1,00",,шт,"221,60", , , ,"3,000","1,000", , 
"Ковер (Витебск) фризе 0,60*1,10",,шт,"337,58", , , ,"1,000", ,"1,000","3,000"
"Ковер (Витебск) фризе 0,60*1,10 ов.",,шт,"266,77", ,"1,000", ,"1,000","1,000","3,000","2,000"
"Ковер (Витебск) фризе 0,80*1,50",,шт,"496,81","5,000", , ,"1,000","2,000","1,000","2,000"
"Ковер (Витебск) фризе 0,80*1,50 ов.",,шт,"442,32","2,000", , ,"2,000", , , 
"Ковер (Витебск) фризе 1,00*2,00",,шт,"860,00","1,000", , , , , ,"2,000"
"Ковер (Витебск) фризе 1,00*3,00 ов.",,шт,"1 105,80","1,000", , , , , , 
"Ковер (Витебск) фризе 1,50*2,00 ов.",,шт,"1 269,00","1,000", , , , , , 
"Ковер (Витебск) фризе 1,50*3,00",,шт,"1 818,90", ,"1,000", , , , , 
